name,url,username,password
GitHub,https://github.com,john.doe@email.com,MyGitHub@2024!
Gmail,https://mail.google.com,john.doe@gmail.com,Gm@ilP@ss2024
Netflix,https://netflix.com,john.doe@email.com,N3tfl!xRocks99
Amazon,https://amazon.com,john.doe@email.com,Am@z0nShop#24
LinkedIn,https://linkedin.com,john.doe@email.com,L!nk3dIn2024
Dropbox,https://dropbox.com,johndoe,Dr0pB0x$ecure!
Slack,https://slack.com,john.doe@email.com,Sl@ckT3am2024
Spotify,https://spotify.com,johndoe,Sp0t!fyMusic#9
Twitter,https://twitter.com,johndoe,Tw!tter@2024X
Microsoft,https://login.microsoftonline.com,john.doe@company.com,M$Office365!
